Size,Reverse
256,8.748
307,8.749
368,8.749
441,8.749
529,8.749
634,8.749
760,8.754
912,8.753
1094,8.753
1312,8.752
1574,8.806
1888,8.754
2265,8.878
2718,8.754
3261,8.753
3913,8.769
4695,8.792
5634,8.753
6760,8.781
8112,8.753
9734,8.766
11680,8.775
14016,8.764
16819,8.762
20182,8.791
24218,8.771
29061,8.849
41847,8.783
50216,8.776
60259,8.808
72310,8.798
86772,8.806
104126,8.81
124951,8.811
149941,8.821
179929,8.817
215914,8.82
259096,8.827
310915,8.816
373098,8.82
447717,8.822
537260,8.825
644712,8.825
773654,8.825
928384,8.826
1114060,8.837
1336872,8.839
1604246,8.839
1925095,8.85
2310114,8.874
2772136,8.895
3326563,8.941
3991875,9.261
4790250,8.999
5748300,9.011
6897960,9.019
8277552,9.01
